Date,Person,Licor Unit,Accession,Genus,Species,Photo,Cond,Ci,Ci_Pa,Ci/Ca,Tleaf,Tair,VpdL,RH_S,PARi,PARo
5/25/2018,AS,Botrychium,2001253A,Ceratozamia,zoquaorum,6.236999806,0.111080983,291.0955848,29.58926857,0.727691539,28.58704138,28.29120684,0.894620881,78.66447767,1300,27.01446464
5/22/2018,AS,Polystichum,2001324A,Ceratozamia,zoquaorum,4.937679852,0.101276135,304.1624952,30.95360408,0.760255231,27.2987237,28.55308676,0.654877897,76.37053235,1300,65.27691676
5/21/2018,ZZ,Polistichum,20030392A,Cycas,angulata,7.79857802,0.103006171,255.8247567,26.01014661,0.639513506,29.19763495,28.41854634,1.033653203,77.97113874,1300,67.32751256
5/25/2018,CK,Thelypteris,20030392B,Cycas,angulata,11.11996875,0.156433762,266.0318282,27.03514961,0.665297983,29.68329534,28.84831252,0.994461315,79.94849025,1300,34.42819903
5/21/2018,ZZ,Polistichum,20030392C,Cycas,angulata,6.941687213,0.090706942,260.2170627,26.45255807,0.650733918,28.81732377,28.17093005,1.024811034,77.05255519,1300,105.2254851
5/21/2018,CC,Thelypteris,20030392D,Cycas,angulata,7.44768911,0.082249914,219.6335104,22.32800424,0.549280444,29.4986411,28.43193355,1.173959495,76.16751109,1300,63.74357817
5/21/2018,ZZ,Polistichum,20030392E,Cycas,angulata,8.46065568,0.111711255,253.0056975,25.72441497,0.632499574,29.28014135,28.50796466,1.023943097,78.32878123,1300,60.48047879
5/22/2018,CK,Martin,20030392F,Cycas,angulata,11.47004146,0.16043638,266.4480243,27.1183317,0.665565339,29.39573297,28.61290755,0.859849842,82.71342479,1300,30.12361404
5/21/2018,MO,Botrychium,96290G,Cycas,armstrongii,13.92599838,0.24081122,296.7168019,30.1654604,0.741972698,28.90534401,28.74200249,0.700954164,83.25952148,1300,84.14317322
5/21/2018,ZZ,Polistichum,96290H,Cycas,armstrongii,15.23236576,0.232413373,283.1968954,28.78185065,0.707975494,29.04699326,28.62863731,0.834102659,81.26255035,1300,311.8618469
5/21/2018,MO,Botrychium,96290L,Cycas,armstrongii,12.93850522,0.181408635,267.5789837,27.19457808,0.682066064,29.16645241,29.0579586,0.818177506,80.35365295,1300,61.17119217
5/21/2018,CC,Thelypteris,941444A,Cycas,bifida,15.68289753,0.18409368,249.0034171,25.32385763,0.622271355,29.81081581,28.33494949,1.3884832,73.02842712,1300,92.65182495
5/21/2018,CC,Thelypteris,941719A,Cycas,bifida,13.28994955,0.171363281,263.0193941,26.76078857,0.657149549,29.387043,28.27400589,1.25574524,74.09423065,1300,91.16142273
5/21/2018,CC,Thelypteris,9511A,Cycas,bifida,11.18568476,0.12526438,243.9519138,24.81232101,0.609836514,29.87114143,28.34650612,1.497450131,70.54349518,1300,149.115448
5/22/2018,AS,Polystichum,66718A,Cycas,bougainvilleana,7.854675218,0.069301991,212.2507236,21.6118366,0.531871638,26.4461174,28.87324142,0.339692697,78.26618958,1300,12.87369728
5/22/2018,CK,Martin,66718B,Cycas,bougainvilleana,8.724164862,0.105319692,259.3956891,26.42914384,0.647760769,29.67414284,28.68648148,0.805086252,85.48845673,1300,0.067780331
5/22/2018,AS,Polystichum,66718C,Cycas,bougainvilleana,10.72651979,0.601385238,365.076919,37.1696612,0.912513306,26.42263412,28.88427734,0.212671725,81.27571106,1300,43.78211975
5/25/2018,CK,Thelypteris,71628A,Cycas,bougainvilleana,8.432325166,0.085014421,231.1603169,23.48144883,0.577928835,30.3418541,29.26587868,1.177737548,77.54747009,1300,22.28853607
5/25/2018,CK,Thelypteris,71628B,Cycas,bougainvilleana,9.315525799,0.083139393,210.4163071,21.37265368,0.526256977,30.09875298,29.00640106,1.137214418,78.23157501,1300,12.72710037
5/21/2018,ZZ,Polistichum,97975B,Cycas,calcicola,13.00394467,0.135326848,220.5801967,22.43229465,0.553697061,29.29614528,28.85291258,0.800129553,82.53707822,1300,348.6224386
5/21/2018,ZZ,Polistichum,97975C,Cycas,calcicola,10.67389333,0.092948785,199.3552818,20.27304863,0.498629409,29.43109878,28.86967627,0.842486928,82.1956056,1300,341.0787527
5/21/2018,ZZ,Polistichum,97976C,Cycas,calcicola,8.844170762,0.07420884,191.1662221,19.44071873,0.476942441,29.3104523,28.82591788,0.808906666,82.52978452,1300,276.4100516
5/21/2018,MO,Botrychium,97976D,Cycas,calcicola,8.679519055,0.068340326,170.0216268,17.29075292,0.425302337,29.46726974,28.8496596,0.85211049,82.26522764,1300,172.8357565
5/21/2018,MO,Botrychium,97977C,Cycas,calcicola,9.066384528,0.073838106,182.7900539,18.58871204,0.457202325,29.45515426,28.84643428,0.799833428,83.51918729,1300,158.8500349
5/22/2018,CK,Martin,97977E,Cycas,calcicola,8.693216889,0.086351535,222.8108965,22.68458795,0.557667586,29.55938609,28.81500022,0.822071604,83.74227842,1300,118.0574222
5/18/2018,CC,Martin,941192H,Cycas,chamaoensis,7.759871275,0.097335623,246.9947609,25.07635847,0.617632567,29.64415312,28.74101798,1.719385956,61.91161982,1300,0.196388737
5/18/2018,CC,Martin,941192K,Cycas,chamaoensis,7.521187803,0.093842115,244.2161254,24.79287684,0.610923287,29.68711519,28.81802813,1.753146934,61.09355036,1300,0.194433699
5/18/2018,AS,Botrychium,95215B,Cycas,chamaoensis,8.945138186,0.138690474,280.1057328,28.43635697,0.700720872,29.51552153,28.79843012,1.113214919,76.22072474,1300,0.513873969
5/18/2018,AS,Botrychium,95215C,Cycas,chamaoensis,9.57377396,0.159819988,285.5674953,28.99179696,0.71414162,29.51251841,28.79843108,1.050700213,77.77598445,1300,0.283353966
5/18/2018,AS,Botrychium,95215D,Cycas,chamaoensis,10.40180651,0.134921602,260.3820829,26.43435538,0.651912556,29.88121271,28.83221785,1.084452907,79.00101344,1300,0.285104398
5/18/2018,AS,Botrychium,95215E,Cycas,chamaoensis,9.486598782,0.143866021,277.1231228,28.13485011,0.693841883,29.58319616,28.83825652,1.132168333,75.96454493,1300,0.59851021
5/21/2018,CC,Thelypteris,95394A,Cycas,clivicola,11.95591477,0.113640971,220.4366122,22.42003413,0.551226822,29.67784119,28.68134689,1.06602424,78.92745209,1300,82.46203613
5/21/2018,CC,Thelypteris,97969A,Cycas,conferta,9.267247753,0.096418361,235.4313199,23.94059732,0.588442225,29.6133372,28.732982,1.038426392,79.00281016,1300,51.67636108
5/21/2018,CC,Thelypteris,97969B,Cycas,conferta,6.829763709,0.069928469,232.1122532,23.60357213,0.580544364,29.35461871,28.70510515,1.038225509,77.57284419,1300,53.04990005
5/21/2018,CC,Thelypteris,97970B,Cycas,conferta,9.48057534,0.102752091,240.7813664,24.48418908,0.602354782,29.41727511,28.72078546,0.980045754,79.34770075,1300,27.93671799
5/23/2018,CK,Botrychium,20040863A,Cycas,couttsiana,11.12754628,0.135667891,257.5056248,26.2170596,0.644347343,30.43311501,29.07102966,1.03757779,82.4602356,1300,12.43256378
5/23/2018,CK,Botrychium,20040863B,Cycas,couttsiana,10.55594955,0.118221483,246.5788396,25.10380916,0.616129426,30.59809875,29.09936523,1.079786009,82.30593109,1300,1.627502322
5/23/2018,CK,Botrychium,20040863C,Cycas,couttsiana,11.68259096,0.154301311,268.45684,27.32245336,0.671352973,30.30882072,29.04942131,0.855913209,86.29922485,1300,18.64326096
5/23/2018,CK,Botrychium,20040863E,Cycas,couttsiana,10.85841502,0.061885905,112.6864383,11.46853175,0.280804112,30.18296623,29.03405762,0.629942319,91.20983887,1300,4.652019501
5/23/2018,CK,Botrychium,20040863N,Cycas,couttsiana,12.34757727,0.146979628,253.7605369,25.82716826,0.63612035,30.35123634,29.0365963,0.903985686,85.43232727,1300,16.62086487
5/23/2018,CK,Botrychium,2004863J,Cycas,couttsiana,8.105294639,0.08167716,231.9728642,23.61660455,0.579789239,30.16237259,29.06243706,1.058684406,80.31221008,1300,89.46936798
5/28/2018,AS,Thelypteris,20030031A,Cycas,debaoensis,9.207532201,0.121367973,256.9465628,26.04107051,0.652774819,28.29796219,27.74330187,1.00264784,76.48106003,1300,8.546213329
5/28/2015,CK,Botrychium,20080462B,Cycas,debaoensis,7.744451505,0.092597888,251.8824399,25.52092254,0.632545164,28.63586044,27.80741167,1.03768959,77.29148102,1300,10.70065254
5/28/2015,CK,Botrychium,20080462H,Cycas,debaoensis,7.722366556,0.08632859,241.5284959,24.4698653,0.606808301,28.78802299,27.95392561,1.061572572,76.92757416,1300,12.44678301
5/28/2018,AS,Thelypteris,20080462N,Cycas,debaoensis,7.247052658,0.078571055,232.2663887,23.53459487,0.587373931,28.56843758,27.67911863,1.071785029,76.54079056,1300,8.686473787
5/25/2018,AS,Botrychium,95102L,Cycas,diannanensis,6.253814408,0.09517786,287.5414421,29.19632604,0.719210817,29.50147457,28.90242882,1.096789868,76.11223755,1300,19.63256464
5/25/2018,CK,Thelypteris,95102M,Cycas,diannanensis,10.24989725,0.135494225,264.6410374,26.87451227,0.661703124,29.42372723,29.06623192,1.057885027,75.90190659,1300,18.33398256
5/25/2018,CK,Thelypteris,95102T,Cycas,diannanensis,9.557420592,0.118659159,257.0183131,26.10252921,0.642642261,29.97306366,29.25739689,1.185314854,75.21109161,1300,16.06048069
5/25/2018,CK,Thelypteris,95117F,Cycas,diannanensis,10.40324411,0.142001577,267.7193421,27.18804716,0.669415665,29.38635273,29.06230469,1.048911283,75.92358932,1300,18.24566183
5/25/2018,AS,Botrychium,9511D,Cycas,diannanensis,8.432963659,0.087651232,218.4321135,22.18096815,0.546695441,29.66806431,28.9038908,1.134977476,76.14932404,1300,22.65865622
5/18/2018,AS,Botrychium,9522A,Cycas,edentata,11.531818,0.112316647,216.5884607,21.97435926,0.541492654,30.11717701,28.86389097,0.842893927,86.36266963,1300,2.750876745
5/18/2018,AS,Botrychium,9522A1,Cycas,edentata,9.39012868,0.073173337,174.6350493,17.71934908,0.436632388,30.10926914,28.80237134,0.989852831,82.9277064,1300,3.386210938
5/18/2018,AS,Botrychium,9522B,Cycas,edentata,9.113627261,0.077852425,196.8337162,19.9706418,0.49261536,29.98705482,28.80241903,0.880065824,84.93794123,1300,7.303224345
5/25/2018,AS,Botrychium,94118A,Cycas,guizhouensis,6.984971926,0.091759517,254.5877271,25.84622507,0.636095682,29.52906837,28.82711601,1.119528821,76.04288712,1300,19.27837543
5/25/2018,AS,Botrychium,95989K,Cycas,guizhouensis,9.076011498,0.138217409,278.2997392,28.25525808,0.69575297,29.43995323,28.80466747,1.022021114,78.06739655,1300,16.18213253
5/25/2018,AS,Botrychium,9598A,Cycas,guizhouensis,10.68763782,0.155027577,273.0042862,27.71995143,0.681859606,29.44498386,28.8195076,0.990319384,78.82951584,1300,14.24290543
5/25/2018,CK,Thelypteris,9598J,Cycas,guizhouensis,9.876291419,0.111449175,234.5037549,23.81420826,0.585887463,29.83791676,29.17258453,1.157851779,75.47065201,1300,13.9873951
5/25/2018,AS,Botrychium,9598M,Cycas,guizhouensis,9.308129257,0.163515823,289.9627615,29.43866858,0.723991761,29.19040337,28.81873035,0.951254778,78.31282272,1300,15.3679512
5/25/2018,AS,Botrychium,93245DD,Cycas,hainanensis,5.941595506,0.048282522,194.6257867,19.76522925,0.486200536,30.07633018,28.81623459,1.219070003,76.9021759,1300,21.25287437
5/25/2018,AS,Botrychium,93245H,Cycas,hainanensis,6.549701676,0.076213618,243.4066842,24.71944816,0.624329628,29.82354927,28.81633568,1.125171064,77.71076965,1300,25.5281868
5/25/2018,AS,Botrychium,93245K,Cycas,hainanensis,8.35404874,0.096056518,251.471872,25.53863853,0.628388048,29.74654961,28.82819748,1.043471109,79.24098969,1300,54.17459106
5/21/2018,ZZ,Polistichum,97948C,Cycas,maconochiei-lanata,12.21486736,0.142344459,236.0271746,23.98723237,0.58997167,29.45443845,28.86626434,0.971591452,79.12497902,1300,187.2434087
5/21/2018,ZZ,Polistichum,97949A,Cycas,maconochiei-lanata,14.12512556,0.17519408,256.5981984,26.07890159,0.639471478,29.35656404,28.84483433,0.910462255,80.17383321,1300,242.668966
